Episode,Total_Reward
1091,-217.7569223380856
1092,-209.76749417944572
1093,-156.55469779190798
1094,-114.69850050915721
1095,-96.18298413479536
1096,-186.85104650529826
1097,-207.4335202779919
1098,-228.12366661880804
1099,-202.59071553300217
1100,-111.0892171504436
1101,-415.74800178179413
1102,-50.64989024037925
1103,-143.11885921237916
1104,-324.24034571831936
1105,-206.79385854063338
1106,-178.6007451862357
1107,-274.75272734444343
1108,-300.02062044184186
1109,-165.09218032798088
1110,-282.5927839863139
1111,-62.38721430018259
1112,-382.6980245470917
1113,-227.85446914312308
1114,-197.68033143213538
1115,-186.2611843141825
1116,-160.36458053314976
1117,-142.03898741008834
1118,-164.48636372956628
1119,-179.2398119217452
1120,-149.167070278352
1121,-142.49021749276233
1122,-181.09960007442896
1123,-360.52579519842527
1124,-155.4051912775034
1125,-347.70182932748577
1126,-173.72823170321905
1127,-202.6361639691986
1128,-175.98913614495223
1129,-70.65499490156428
1130,-103.40232877936394
1131,-155.49890680825516
1132,-208.12156782539236
1133,-140.6472405672514
1134,-66.85351109605006
1135,-84.67099682326895
1136,-204.3485960651165
1137,-221.6640901810973
1138,-91.01668053092499
1139,-247.36887008470705
1140,-141.68149072856647
1141,-330.12594430022415
1142,-289.21888999769294
1143,-228.94509047762756
1144,-405.92403495945337
1145,-297.0044031100284
1146,-85.3119276861108
1147,-69.29025707219863
1148,31.166428831727288
1149,218.412749391676
1150,-122.51545061962187
1151,225.22480331501512
1152,-231.57481492839304
1153,-146.72686393142072
1154,-344.46037233489693
1155,-87.33071910677613
1156,60.19323653553542
1157,-156.8193562791541
1158,-388.64912052021634
1159,-10.592490149986872
1160,-125.95391750847878
1161,-63.307289215682005
1162,-159.07285042595134
1163,-165.10534954423693
1164,-165.77341366693653
1165,-168.95418538835304
1166,-239.136135656455
1167,-413.23318815626004
1168,-89.3806728844748
1169,-128.6619040596021
1170,-170.33599248081103
1171,-109.03008104948586
1172,-199.31828196909728
1173,-87.5062058067711
1174,-64.07200425449999
1175,-99.13961712655525
1176,-187.9753436892226
1177,-144.74019107699726
1178,-101.29053502382857
1179,-154.70877152743196
1180,-105.39148527380983
1181,-108.6122274144152
1182,-170.74010254918707
1183,-67.1954154341391
1184,-135.4130600063544
1185,-124.63882171715167
1186,-137.75533222173576
1187,-40.0674234001358
1188,-228.2984336376772
1189,-178.19779684847532
1190,-127.59917415084333
1191,-50.90746126138714
1192,-134.66308076187212
1193,-101.09004823253171
1194,-126.58668215586879
1195,-106.63236600202859
1196,-130.64539331662166
1197,-115.681975518977
1198,-127.81116212596541
1199,-157.4673417971183
1200,-263.5297585401032
1201,-163.2330520860357
1202,-232.720150351627
1203,154.1536443122216
1204,25.86051313204672
1205,-123.08117509671078
1206,-101.54669836584016
1207,249.29994199535363
1208,-185.4702609444127
1209,-309.26982738903524
1210,-60.476268622023326
1211,-151.52439322902504
1212,-42.499414792953075
1213,-190.74752359636338
1214,-110.56282260757045
1215,-109.73213939982472
1216,-122.47469544942804
1217,-216.09831001229034
1218,-180.50502741155
1219,-79.23959793896915
1220,-139.33409567354272
1221,-249.38821042278855
1222,-94.50370548002859
1223,-390.75240742519793
1224,-155.40739329754064
1225,-126.33144426427201
1226,-140.34489782326074
1227,-127.4568755672939
1228,-29.230380201416125
1229,-186.12012891595936
1230,-80.4765254845605
1231,322.8489276175681
1232,-97.15896332015336
1233,-105.6140088590104
1234,-94.82792287086772
1235,-132.7348140118859
1236,-219.3489980603395
1237,-160.90952642932888
1238,-151.6760737422931
1239,-300.19197036314034
1240,-243.22512824019782
1241,-177.94366072264896
1242,-226.59421542132736
1243,-297.49497274295027
1244,-138.9012032882461
1245,-238.92085900654848
1246,-235.65732469722437
1247,-204.863295986162
1248,-237.65884993754838
1249,-108.08884445643085
1250,-138.6778691515278
1251,-188.06508322620147
1252,-110.2726689805098
1253,-188.13216799055024
1254,-54.297372226376524
1255,-181.83919822448573
